Home,Away,GF,GC
Arsenal,Bayern Munich,,
Bayern Munich,Arsenal,,
Atlético Madrid,Borussia Dortmund,,
Borussia Dortmund,Atlético Madrid,,
Real Madrid,Manchester City,,
Manchester City,Real Madrid,,
Paris Saint-Germain,Barcelona,,
Barcelona,Paris Saint-Germain,,
Winners of quarter-final 2,Winners of quarter-final 4,,
Winners of quarter-final 4,Winners of quarter-final 2,,
Winners of quarter-final 1,Winners of quarter-final 3,,
Winners of quarter-final 3,Winners of quarter-final 1,,
Winners of semi-final 1,Winners of semi-final 2,,
